13070842,    Victor Bucheli,    33,    ,    3,    3,    3002176462,    2,    15/01/2025
13070841,    Andres Guerrrero,    43,    ,    3,    3,    30027876245,    2,    15/01/2025
13070845,    Carlos Guerrrero,    14,    ,    3,    3,    30027823245,    2,    15/01/2025
13070841,    Andres Gonzaga,    13,    ,    3,    3,    300278762423,    2,    15/01/2025
13070841,    Andres Guerrra,    43,    ,    3,    3,    300278712315,    2,    15/01/2025
13070841,    Andres Quiñonez,    53,    ,    8,    3,    300278762423,    2,    15/01/2025
13070841,    Ferley Asprilla,    35,    ,    8,    3,    300278712315,    2,    15/01/2025
13070841,    Lasio Allani,    15,    ,    9,    3,    300278712315,    2,    15/01/2025
94404018,    Julio Cardona,    52,    ,    1,    7,    3046195893,    2,    15/01/2025
1105677893,    Gabriela Cardona,    15,    ,    4,    7,    3046195893,    2,    15/01/2025
1105370776,    Jose Cardona,    18,    ,    3,    8,    3170594478,    2,    15/01/2025
38888069,    Martha Gil,    47,    ,    3,    7,    3045843701,    3,    20/09/2025
38888069,    Martha Gil,    47,    ,    3,    7,    3045843701,    2,    11/10/2025
